experiment_id,timestamp_utc,git_commit,config_hash,data_period,pairs,model_type,parameters,cost_scenario,result_summary,notes,status
EXP-010,2026-08-02T05:55:00Z,7e25e78,nb02-d014,2019-06-03 -> 2026-04-24 (free-tier clip),MES_M2K,notebook02_intraday_reversion(conditional P&L event study + variance-ratio curves + roll preflight),"{""assumption"": ""A-006"", ""decision"": ""D-014 -> D-015"", ""protocol"": ""identical to EXP-008/009 (D-010+A1+A2)"", ""specs"": ""S1 beta=1 / S2 trailing-OLS-residual / S3 static (look-ahead diagnostic)"", ""entry_z"": [1.5, 2.0, 2.5, 3.0], ""horizons_bars"": [5, 15, 30, 60, 120], ""n_boot"": 400, ""seed"": 20260801, ""inference"": ""session-clustered (1780 sessions)"", ""run"": ""Well Dressed Green Tapir""}",none (no trading simulated; effect sizes in bps for notebook 07),"AMBIGUOUS/MICROSTRUCTURE: criteria (a)+(c) SATISFIED (S1 and S2 positive at |t|>=3 across adjacent horizons, monotone in entry_z, max +6.31 bps at t=5.31 which WOULD clear cost) but (b) FAILS - residual VR walks 0.813->0.897->0.956 as base sampling coarsens 1->5->15min and is insignificant (p=0.13/0.15) at 5-min base; M2K's own VR at q=2 is 1.012 (>1) = lagged adjustment. Pair does NOT advance; A-006 unresolved for MES_M2K","D-009 constructor DETERMINISM CONFIRMED: D-014 predicted the exact flagged roll (M2KM19 2019-06-13), its numbers (-6bp vs +26bp) and its classification (sign_mismatch) in advance; all reproduced. Index book closed as an intraday reversion book (2 falsified, 1 unresolved). M2K needs post-roll warm-up >=1170 bars, not 780. Open: delayed-entry test (t+2/t+5/t+15) to separate lead-lag from reversion - pre-register separately, run AFTER notebook 03",reviewed
EXP-011,2026-08-02T07:10:00Z,550ef6d,nb03-d016,2019-06-03 -> 2026-04-24 (free-tier clip),ZF_ZN,notebook03_intraday_reversion(vol-ratio anchor + conditional P&L event study + variance-ratio curves + roll preflight),"{""assumption"": ""A-009"", ""decision"": ""D-016 -> D-017"", ""anchor"": ""vol_ratio (sigma_a/sigma_b, log space)"", ""specs"": ""S1 vol-ratio / S2 trailing-OLS-residual / S3 static (look-ahead control)"", ""rolls"": ""treasury_roll_schedule, month-end before delivery, 27 rolls"", ""entry_z"": [1.5, 2.0, 2.5, 3.0], ""horizons_bars"": [5, 15, 30, 60, 120], ""n_boot"": 400, ""seed"": 20260801, ""inference"": ""session-clustered (1746 sessions)"", ""run"": ""Calculating Tan Cormorant""}",none simulated; cost scale computed from verified tick specs (~3.1 bps round trip),"AMBIGUOUS/MICROSTRUCTURE + ECONOMICALLY IMMATERIAL: criterion (a) satisfied overwhelmingly (20/20 S1 cells positive at |t|>=3, t up to 9.44) but largest effect is +0.286 bps against a ~3.1 bps round trip = 11x too small; (b) fails - residual VR 0.134 -> 0.467 -> 0.827 as base bars coarsen 1->5->15min, and legs are themselves bounce-dominated (ZF 0.72 / ZN 0.58 at q=120) because treasury ticks are coarse vs minute vol","Gate ZERO flags both legs, 27 rolls, zero dropped bars. NEW: treasury roll windows are FLAT (0.89-1.01x baseline vs 1.6-2.6x for index pairs) so no warm-up extension needed; L-013 open-clustering ABSENT (12.7% vs 22.7-24.7%) confirming it is an equity-session-open artifact. CAVEAT: treasury raw_hl is NOT comparable to notebook 02 (S1 is centered here, so its half-life is partly mechanical). Vol-ratio beta much more stable than OLS (p5-p95 0.495-0.693 vs 0.395-0.805)",reviewed
EXP-012,2026-08-03T08:30:00Z,d62bf6a,nb03-d016,2019-06-03 -> 2026-04-24 (free-tier clip),ZT_ZF,notebook03_intraday_reversion(vol-ratio anchor + conditional P&L + variance-ratio curves + roll preflight),"{""assumption"": ""A-009"", ""decision"": ""D-016 -> D-018"", ""anchor"": ""vol_ratio"", ""rolls"": ""treasury month-end, 27 rolls"", ""entry_z"": [1.5,2.0,2.5,3.0], ""horizons_bars"": [5,15,30,60,120], ""seed"": 20260801, ""run"": ""Swimming Yellow Green Guanaco""}",cost from VERIFIED tick specs (A-003),AMBIGUOUS/MICROSTRUCTURE + ECONOMICALLY IMMATERIAL: 20/20 S1 cells positive at |t|>=3; max honest effect +0.202 bps vs 1.41 bps round trip = 7x too small; VR 0.241->0.904 as bars coarsen 1->15min,"gate PASS, ZT230831 flag sign_mismatch (reproduces in the ZT_ZN run = determinism check); vol-ratio beta 0.449 (p5-p95 0.369-0.527) vs OLS 0.105-0.548",reviewed
EXP-013,2026-08-03T08:30:00Z,d62bf6a,nb03-d016,2019-06-03 -> 2026-04-24 (free-tier clip),ZN_ZB,notebook03_intraday_reversion(vol-ratio anchor + conditional P&L + variance-ratio curves + roll preflight),"{""assumption"": ""A-009"", ""decision"": ""D-016 -> D-018"", ""anchor"": ""vol_ratio"", ""rolls"": ""treasury month-end, 27 rolls"", ""entry_z"": [1.5,2.0,2.5,3.0], ""horizons_bars"": [5,15,30,60,120], ""seed"": 20260801, ""run"": ""Measured Magenta Goat""}",cost from VERIFIED tick specs (A-003),AMBIGUOUS/MICROSTRUCTURE + ECONOMICALLY IMMATERIAL: 20/20 S1 cells positive at |t|>=3; max honest effect +0.664 bps vs 5.85 bps round trip = 9x too small; VR 0.208->0.893,"gate PASS, 2 ZB flags both sign_mismatch; LARGEST roll shock in the universe (median 39.5 bps, max 118) consistent with A-012 long-end warning; A-012 clause moot since not positive",reviewed
EXP-014,2026-08-03T08:30:00Z,d62bf6a,nb03-d016,2019-06-03 -> 2026-04-24 (free-tier clip),ZT_ZN,notebook03_intraday_reversion(vol-ratio anchor + conditional P&L + variance-ratio curves + roll preflight),"{""assumption"": ""A-009"", ""decision"": ""D-016 -> D-018"", ""anchor"": ""vol_ratio"", ""rolls"": ""treasury month-end, 27 rolls"", ""entry_z"": [1.5,2.0,2.5,3.0], ""horizons_bars"": [5,15,30,60,120], ""seed"": 20260801, ""run"": ""Logical Magenta Termite""}",cost from VERIFIED tick specs (A-003),AMBIGUOUS/MICROSTRUCTURE + ECONOMICALLY IMMATERIAL: 16/20 S1 cells positive at |t|>=3; max honest effect +0.166 bps vs 1.50 bps round trip = 9x too small; VR 0.322->0.963,gate PASS; widest maturity gap; OLS beta p5 = 0.033 (economically meaningless) vs vol-ratio 0.197-0.356 - clearest support for D-008's adaptive-hedge mandate,reviewed
EXP-015,2026-08-03T20:10:00Z,a1ef235,nb06-d020,2019-06-03 -> 2026-04-24 (free-tier clip),MES_MYM,notebook06_signal_definition(Z0 rolling390 / Z1 session-anchored / Z2 open-excluded / ZO open-only),"{""assumption"": ""A-006"", ""decision"": ""D-020 -> D-021"", ""z0"": ""rolling_zscore(residual,390)"", ""z1"": ""session_anchored_zscore(warmup=30)"", ""z2"": ""Z0 events minus first 30 min"", ""zO"": ""open subset only (EXPLORATORY, S1)"", ""specs"": ""S1/S2/S3 unchanged"", ""entry_z"": [1.5,2.0,2.5,3.0], ""horizons_bars"": [5,15,30,60,120], ""seed"": 20260801, ""vr"": ""inherited from EXP-008 (no z-score enters it)"", ""run"": ""Hyper Active Tan Hippopotamus""}",none simulated; effect sizes vs report-02 s5 band (~2-3 bps incl A-007 placeholder),"GATES PASS (Z0 reproduces nb02 60/60 cells exactly; Z1 open share 24.3%->0.0%). Z0 16 honest sig cells ALL NEGATIVE; Z2 25 ALL POSITIVE (best +2.401 bps t=6.01); Z1 (a) fails via S2 (0 cells |t|>=3 anywhere); open subset ZO negative at every horizon (t to -3.5). Criterion (b) unchanged and failing -> pair does not advance","The continuation that falsified MES_MYM (D-011) is an OPEN-WINDOW effect. Verdict branch unchanged, mechanism sentence corrected. L-018 logged",reviewed
EXP-016,2026-08-03T20:25:00Z,a1ef235,nb06-d020,2019-06-03 -> 2026-04-24 (free-tier clip),MES_MNQ,notebook06_signal_definition(Z0/Z1/Z2/ZO),"{""assumption"": ""A-006"", ""decision"": ""D-020 -> D-021"", ""protocol"": ""identical to EXP-015"", ""seed"": 20260801, ""run"": ""Muscular Blue Goshawk""}",none simulated,"GATES PASS (60/60; 24.7%->0.0%). Z0 15 honest sig cells ALL NEGATIVE; Z2 21 ALL POSITIVE (best +3.121 bps t=6.13, ~1.0-1.6x the index cost band); Z1 7 positive sig cells but (a) fails via S2 (0 cells)","Same open-window mechanism as MES_MYM. Largest Z2 cell sits ABOVE the cost band, which is why (b) being unchanged-and-failing is the load-bearing objection, not cost",reviewed
EXP-017,2026-08-03T20:40:00Z,a1ef235,nb06-d020,2019-06-03 -> 2026-04-24 (free-tier clip),MES_M2K,notebook06_signal_definition(Z0/Z1/Z2/ZO),"{""assumption"": ""A-006"", ""decision"": ""D-020 -> D-021"", ""protocol"": ""identical to EXP-015"", ""seed"": 20260801, ""run"": ""Crawling Magenta Barracuda""}",none simulated,"GATES PASS (60/60; 22.7%->0.0%; M2K190613 flag reproduces sign_mismatch a third time). Z0 (a) SATISFIED (D-015) but Z1 (a) FAILS via S2 -> THE VERDICT THAT CHANGES, so L-013 reads MATERIAL-DIRECTION-ONLY. Z2 25 sig cells all positive, best +6.767 bps t=5.14","The pair still does not advance: (b) unchanged and failing, window spent. Delayed entry (D-015) remains the test that would settle it",reviewed
EXP-018,2026-08-03T20:55:00Z,a1ef235,nb06-d020,2019-06-03 -> 2026-04-24 (free-tier clip),ZF_ZN,notebook06_signal_definition(Z0/Z1/Z2/ZO) NEGATIVE CONTROL,"{""assumption"": ""A-009"", ""decision"": ""D-020 -> D-021"", ""role"": ""negative control - the pair where L-013 is ABSENT (12.7% flat)"", ""anchor"": ""vol_ratio"", ""seed"": 20260801, ""run"": ""Measured Black Lion""}",cost from VERIFIED tick specs (3.10 bps round trip),"GATES PASS (60/60; 12.7%->0.0%). Criterion (a) satisfied under Z0, Z1 AND Z2 - verdict UNCHANGED. Effect moves 0.286 -> 0.195 -> 0.357 bps, i.e. 10.9x -> 8.7x below cost. Open subset ZO is the ONLY negative row anywhere in this pair's grid (-0.15 bps t=-3.87)","The control discriminates: the same change does NOT flip a pair where open-clustering is absent, which is what makes the index flip attributable to the open window. No signal definition closes an order-of-magnitude cost gap",reviewed
EXP-019,2026-08-04T22:30:00Z,fd23025,nb14-d022,2019-06-03 -> 2026-04-24 (free-tier clip),MES_M2K,"notebook14_delayed_entry(entry t+d for d in {1,2,5,15} on event sets matched at d=15; Z0+Z2 unchanged; leg crosscorr lags +-1..5 w/ joint session bootstrap)","{""assumption"": ""A-006 mechanism attribution only"", ""decision"": ""D-022 -> D-023"", ""delays"": [1,2,5,15], ""feasible"": 15, ""signals"": ""Z0+Z2 (Z1 excluded per L-018)"", ""read_set"": ""37 banked cells frozen in D-022"", ""entry_z"": [1.5,2.0,2.5,3.0], ""horizons_bars"": [5,15,30,60,120], ""seed"": 20260801, ""parts"": 2, ""run_p1"": ""Creative Tan Antelope"", ""run_p2"": ""Swimming Red Pigeon""}",none simulated; effect sizes vs ~2-3 bps placeholder band (A-007/A-008),"GATES PASS 8/8 (Z0 AND Z2 repro 60/60 exactly; parts 54+57 keys set-identical to manifests; cross-part diagnostics identical = 5th D-009 determinism check; c0=0.788). VERDICT DELAY-ROBUST: rho(2/5/15)=0.932/0.849/0.536 S(5)=0.73 S(15)=0.59 all 37 cells included; X=TRUE but tiny and k=1-only (ab_1 +0.033 [+0.021,+0.047] vs mirror +0.004; k>=2 all ~0)","Surface is NOT laggard catch-up (both probes agree; t+1 convention already skips the one real catch-up bar). Ceiling pre-committed: no advance, (b) unchanged+failing, D-019 stands. Hypothesis-generating target for session/resolution thread: +6.68 bps decaying to +2.24 across 15-min delay. Open puzzle: VR evaporates at 5-min bars while conditional effect survives 15-min delay. L-019/L-020 operational",reviewed
EXP-020,2026-08-04T22:00:00Z,1042225,nb15-d024,2019-06-03 -> 2026-04-24 (free-tier clip),ZF_ZN,notebook15_session_window(5 windows; criterion (b) RECOMPUTED per window),"{""assumption"": ""A-013 + L-021"", ""decision"": ""D-024 -> D-025"", ""windows"": ""S-USED/S-HALF(placebo)/S-RTH/S-SETTLE/S-CASH"", ""move_bar"": 2.0, ""seed"": 20260801, ""anchor"": ""vol_ratio"", ""parts"": 3, ""runs"": ""Emotional Blue Cobra / Upgraded Magenta kitten / Dancing Red Orange Rat""}",cost from VERIFIED tick specs (A-003); A-007/A-008 placeholders,"ALL 15 GATES PASS. 10.85x -> 8.08x (S-SETTLE); best move 1.22x; (b) fails base15=0.824. Verdict branch UNCHANGED on every window: AMBIGUOUS/MICROSTRUCTURE + ECONOMICALLY IMMATERIAL","S-USED reproduces banked nb03 60/60 cells + VR 48/48; S-CASH-ENABLE factor table identical character-for-character; 6th D-009 determinism demo",reviewed
EXP-021,2026-08-04T22:00:00Z,1042225,nb15-d024,2019-06-03 -> 2026-04-24 (free-tier clip),ZT_ZF,notebook15_session_window(5 windows; criterion (b) RECOMPUTED per window),"{""assumption"": ""A-013 + L-021"", ""decision"": ""D-024 -> D-025"", ""windows"": ""S-USED/S-HALF(placebo)/S-RTH/S-SETTLE/S-CASH"", ""move_bar"": 2.0, ""seed"": 20260801, ""anchor"": ""vol_ratio"", ""parts"": 3, ""runs"": ""Hyper Active Tan Gaur / Hyper Active Fluorescent Pink Guanaco / Emotional Blue Caterpillar""}",cost from VERIFIED tick specs (A-003); A-007/A-008 placeholders,"ALL 15 GATES PASS. 7.00x -> 5.44x (S-CASH); best move 1.30x; (b) fails base15=0.900; Q1 DISPLACEMENT-CONFOUNDED (degenerate, L-022). Verdict branch UNCHANGED on every window: AMBIGUOUS/MICROSTRUCTURE + ECONOMICALLY IMMATERIAL","S-USED reproduces banked nb03 60/60 cells + VR 48/48; S-CASH-ENABLE factor table identical character-for-character; 6th D-009 determinism demo",reviewed
EXP-022,2026-08-04T22:00:00Z,1042225,nb15-d024,2019-06-03 -> 2026-04-24 (free-tier clip),ZN_ZB,notebook15_session_window(5 windows; criterion (b) RECOMPUTED per window),"{""assumption"": ""A-013 + L-021"", ""decision"": ""D-024 -> D-025"", ""windows"": ""S-USED/S-HALF(placebo)/S-RTH/S-SETTLE/S-CASH"", ""move_bar"": 2.0, ""seed"": 20260801, ""anchor"": ""vol_ratio"", ""parts"": 3, ""runs"": ""Square Yellow Green Gorilla / Swimming Red Scorpion / Dancing Apricot Hippopotamus""}",cost from VERIFIED tick specs (A-003); A-007/A-008 placeholders,"ALL 15 GATES PASS. 8.81x -> 5.61x (S-CASH); best move 1.25x; (b) fails base15=0.893. Verdict branch UNCHANGED on every window: AMBIGUOUS/MICROSTRUCTURE + ECONOMICALLY IMMATERIAL","S-USED reproduces banked nb03 60/60 cells + VR 48/48; S-CASH-ENABLE factor table identical character-for-character; 6th D-009 determinism demo",reviewed
EXP-023,2026-08-04T22:00:00Z,1042225,nb15-d024,2019-06-03 -> 2026-04-24 (free-tier clip),ZT_ZN,notebook15_session_window(5 windows; criterion (b) RECOMPUTED per window),"{""assumption"": ""A-013 + L-021"", ""decision"": ""D-024 -> D-025"", ""windows"": ""S-USED/S-HALF(placebo)/S-RTH/S-SETTLE/S-CASH"", ""move_bar"": 2.0, ""seed"": 20260801, ""anchor"": ""vol_ratio"", ""parts"": 3, ""runs"": ""Casual Fluorescent Yellow Eagle / Square Tan Pig / Swimming Black Elephant""}",cost from VERIFIED tick specs (A-003); A-007/A-008 placeholders,"ALL 15 GATES PASS. 9.06x -> 5.57x (S-CASH); best move 1.43x (largest in run); (b) fails base15=0.928. Verdict branch UNCHANGED on every window: AMBIGUOUS/MICROSTRUCTURE + ECONOMICALLY IMMATERIAL","S-USED reproduces banked nb03 60/60 cells + VR 48/48; S-CASH-ENABLE factor table identical character-for-character; 6th D-009 determinism demo",reviewed
